"Quarter","Category","YoY_Change"
"2019-Q1","Bread & Cereal",0.883218842001954
"2019-Q1","Bread & Cereal",2.48262164846078
"2019-Q1","Bread & Cereal",2.87128712871287
"2019-Q2","Bread & Cereal",3.47912524850895
"2019-Q2","Bread & Cereal",2.38568588469186
"2019-Q2","Bread & Cereal",3.48953140578265
"2019-Q3","Bread & Cereal",2.97324083250743
"2019-Q3","Bread & Cereal",4.56349206349207
"2019-Q3","Bread & Cereal",4.26164519326064
"2019-Q4","Bread & Cereal",3.74015748031498
"2019-Q4","Bread & Cereal",4.44225074037512
"2019-Q4","Bread & Cereal",4.19103313840157
"2020-Q1","Bread & Cereal",3.98832684824904
"2020-Q1","Bread & Cereal",3.39147286821706
"2020-Q1","Bread & Cereal",5.87102983638113
"2020-Q2","Bread & Cereal",6.72430355427474
"2020-Q2","Bread & Cereal",5.8252427184466
"2020-Q2","Bread & Cereal",3.85356454720616
"2020-Q3","Bread & Cereal",2.59865255052933
"2020-Q3","Bread & Cereal",2.08728652751422
"2020-Q3","Bread & Cereal",1.90114068441065
"2020-Q4","Bread & Cereal",2.08728652751422
"2020-Q4","Bread & Cereal",2.26843100189036
"2020-Q4","Bread & Cereal",1.21608980355472
"2021-Q1","Bread & Cereal",1.59027128157154
"2021-Q1","Bread & Cereal",1.21836925960637
"2021-Q1","Bread & Cereal",-2
"2021-Q2","Bread & Cereal",-2.79027902790279
"2021-Q2","Bread & Cereal",-0.73394495412844
"2021-Q2","Bread & Cereal",0
"2021-Q3","Bread & Cereal",0.938086303939967
"2021-Q3","Bread & Cereal",0.464684014869898
"2021-Q3","Bread & Cereal",0.652985074626877
"2021-Q4","Bread & Cereal",0.557620817843874
"2021-Q4","Bread & Cereal",0.831792975970425
"2021-Q4","Bread & Cereal",1.66358595194085
"2022-Q1","Bread & Cereal",1.84162062615101
"2022-Q1","Bread & Cereal",2.22222222222224
"2022-Q1","Bread & Cereal",4.35992578849722
"2022-Q2","Bread & Cereal",5.27777777777778
"2022-Q2","Bread & Cereal",5.5452865064695
"2022-Q2","Bread & Cereal",7.23562152133581
"2022-Q3","Bread & Cereal",8.45724907063199
"2022-Q3","Bread & Cereal",9.43570767807587
"2022-Q3","Bread & Cereal",11.7701575532901
"2022-Q4","Bread & Cereal",12.0147874306839
"2022-Q4","Bread & Cereal",12.0073327222731
"2022-Q4","Bread & Cereal",12.9090909090909
"2023-Q1","Bread & Cereal",12.5678119349006
"2023-Q1","Bread & Cereal",12.5
"2023-Q1","Bread & Cereal",10.7555555555555
"2023-Q2","Bread & Cereal",11.4335971855761
"2023-Q2","Bread & Cereal",12.784588441331
"2023-Q2","Bread & Cereal",10.8996539792388
"2023-Q3","Bread & Cereal",9.9400171379606
"2023-Q3","Bread & Cereal",10.3972950126796
"2023-Q3","Bread & Cereal",8.87230514096187
"2023-Q4","Bread & Cereal",8.4983498349835
"2023-Q4","Bread & Cereal",8.26513911620295
"2023-Q4","Bread & Cereal",7.72946859903383
"2024-Q1","Bread & Cereal",7.38955823293173
"2024-Q1","Bread & Cereal",7.0048309178744
"2024-Q1","Bread & Cereal",7.30337078651686
"2024-Q2","Bread & Cereal",5.05130228887134
"2024-Q2","Bread & Cereal",3.41614906832297
"2024-Q2","Bread & Cereal",3.43213728549143
"2024-Q3","Bread & Cereal",4.36477007014808
"2024-Q3","Bread & Cereal",2.45022970903523
"2024-Q3","Bread & Cereal",1.82787509520181
"2024-Q4","Bread & Cereal",2.96577946768062
"2024-Q4","Bread & Cereal",2.72108843537415
"2024-Q4","Bread & Cereal",2.1674140508221
"2025-Q1","Bread & Cereal",2.99177262528048
"2025-Q1","Bread & Cereal",2.33258088788562
"2025-Q1","Bread & Cereal",2.54300673148842
"2019-Q1","Dairy",1.38203356367226
"2019-Q1","Dairy",1.28712871287129
"2019-Q1","Dairy",1.57946692991116
"2019-Q2","Dairy",1.76991150442478
"2019-Q2","Dairy",1.97044334975369
"2019-Q2","Dairy",2.55905511811025
"2019-Q3","Dairy",3.34316617502457
"2019-Q3","Dairy",4.94559841740851
"2019-Q3","Dairy",5.62130177514792
"2019-Q4","Dairy",5.21140609636184
"2019-Q4","Dairy",5.79567779960708
"2019-Q4","Dairy",5.63106796116504
"2020-Q1","Dairy",6.13437195715676
"2020-Q1","Dairy",6.06060606060606
"2020-Q1","Dairy",7.38581146744413
"2020-Q2","Dairy",7.43961352657005
